Border;Summary Direction 1;Summary Direction 2
AL00-GR00;600;600
AL00-ME00;400;400
AL00-MK00;500;500
AL00-RS00;250;250
AT00-CH00;1200;1200
AT00-CZ00;900;900
AT00-DE00;7500;7500
AT00-HU00;800;800
AT00-ITN1;875;695
AT00-SI00;950;950
AT00-SK00;0;0
BA00-HR00;900;800
BA00-ME00;500;500
BA00-RS00;1640;1680
BE00-DE00;1000;1000
BE00-FR00;2800;4300
BE00-LUB1;380;0
BE00-LUG1;300;180
BE00-NL00;3400;3400
BE00-UK00;1000;1000
BG00-GR00;1700;1400
BG00-MK00;400;400
BG00-RO00;2190;2190
BG00-RS00;380;350
BG00-TR00;900;500
CH00-DE00;4200;4400
CH00-FR00;2200;4500
CH00-ITN1;5772;3110
CY00-EG00;0;0
CY00-GR03;1000;1000
CY00-IL00;1000;1000
CZ00-DE00;2600;2500
CZ00-PL00I;600;0
CZ00-SK00;1800;1100
DE00-DEKF;400;400
DE00-DKE1;600;600
DE00-DKW1;3500;3500
DE00-FR00;4800;4800
DE00-LUG1;2400;2400
DE00-LUV1;1300;1300
DE00-NL00;5000;5000
DE00-NOS0;1400;1400
DE00-PL00I;2000;0
DE00-SE04;1315;1315
DE00-UK00;1400;1400
DEKF-DKKF;400;400
DKE1-DKKF;600;600
DKE1-DKW1;600;590
DKE1-PL00;0;0
DKE1-SE04;1700;1300
DKW1-NL00;700;700
DKW1-NOS0;1632;1632
DKW1-SE03;715;715
DKW1-UK00;1400;1400
DZ00-MA00;1000;1000
DZ00-TN00;250;250
EE00-FI00;1016;1016
EE00-LV00;950;879
EG00-GR00;3000;3000
EG00-LY00;240;240
ES00-FR00;5000;5000
ES00-MA00;900;600
ES00-PT00;4200;3500
FI00-NON1;0;0
FI00-SE01;2000;2000
FI00-SE02;0;0
FI00-SE03;1200;1200
FR00-IE00;700;700
FR00-ITN1;4485;2160
FR00-LUF1;380;0
FR00-UK00;5600;5600
FR15-ITCO;120;150
GR00-GR03;800;800
GR00-ITS1;500;500
GR00-LY00;0;0
GR00-MK00;1100;850
GR00-TR00;660;580
GR03-LY00;0;0
HR00-HU00;800;1000
HR00-RS00;300;400
HR00-SI00;1500;1500
HU00-RO00;1617;1435
HU00-RS00;600;700
HU00-SI00;1200;1200
HU00-SK00;1800;2513
HU00-UA01;450;650
IE00-UK00;1750;1750
IE00-UKNI;1250;1200
IL00-PS00;3000;3000
IS00-UK00;0;0
ITCN-ITCO;400;400
ITCN-ITCS;4650;5350
ITCN-ITN1;4500;5300
ITCO-ITSA;420;480
ITCS-ITS1;3100;5700
ITCS-ITSA;720;900
ITCS-ITVI;1000;1000
ITCS-ME00;600;600
ITN1-SI00;1080;1153
ITS1-ITCA;2000;3250
ITSA-ITVI;1000;1000
ITSI-ITCA;2000;2000
ITSI-ITVI;1500;1500
ITSI-MT00;225;225
ITSI-TN00;600;600
LT00-LV00;950;950
LT00-PL00;700;700
LT00-SE04;700;700
LY00-TN00;500;500
ME00-RS00;540;1140
MK00-RS00;460;480
NL00-NOS0;700;700
NL00-UK00;1000;1000
NOM1-NON1;350;1300
NOM1-NOS0;800;600
NOM1-SE02;600;1000
NON1-SE01;700;600
NON1-SE02;250;300
NOS0-SE03;2145;2095
PL00E-CZ00;800;0
PL00E-DE00;3000;0
PL00E-SK00;781;0
PL00I-PL00;3000;0
PL00-PL00E;3000;0
PL00-SE04;600;600
RO00-RS00;1984;1800
RO00-UA01;150;150
SE01-SE02;3300;3300
SE02-SE03;7300;7300
SE03-SE04;6200;2800
SK00-PL00I;818;0
SK00-UA01;495;634
UK00-NOS0;1400;1400
UK00-UKNI;450;400
MD00-RO00;480;950
ITCS-ITN1;2000;2000
EG00-GR03;0;0
HU00-UA00;1000;1000
PL00-UA00;500;500
RO00-UA00;800;800
SK00-UA00;400;400
MD00-UA00;600;600