OFFSHORE_NODE;OFFSHORE_NODE_TYPE;YEAR;SCENARIO;TECH1;TECH2;TECH3;TECH4;TECH5;TECH6;EXISTING_MW;MARGIN_MW;MAX_MW
ALOR001;Radial;2030;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2035;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2040;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2045;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2050;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2030;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2035;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2040;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2045;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2050;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2030;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2035;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2040;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2045;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2050;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
BEIOH01;Hub;2030;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2035;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2040;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2045;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2050;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2030;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2035;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2040;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2045;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2050;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2030;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2035;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2040;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2045;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2050;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEOH001;Hub;2030;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;5760;0;5760
BEOH001;Hub;2035;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;6860;0;6860
BEOH001;Hub;2040;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;7960;0;7960
BEOH001;Hub;2045;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;7960;0;7960
BEOH001;Hub;2050;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;7960;0;7960
BEOH001;Hub;2030;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;5760;0;5760
BEOH001;Hub;2035;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;6860;0;6860
BEOH001;Hub;2040;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;7960;0;7960
BEOH001;Hub;2045;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;7960;0;7960
BEOH001;Hub;2050;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;7960;0;7960
BEOH001;Hub;2030;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;5760;0;5760
BEOH001;Hub;2035;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;6860;0;6860
BEOH001;Hub;2040;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;7960;0;7960
BEOH001;Hub;2045;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;7960;0;7960
BEOH001;Hub;2050;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;7960;0;7960
BGOR001;Radial;2030;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
BGOR001;Radial;2035;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;149,2834395;149,2834395
BGOR001;Radial;2040;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;298,566879;298,566879
BGOR001;Radial;2045;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;447,8503185;447,8503185
BGOR001;Radial;2050;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;597,133758;597,133758
BGOR001;Radial;2030;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
BGOR001;Radial;2035;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;149,2834395;149,2834395
BGOR001;Radial;2040;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;298,566879;298,566879
BGOR001;Radial;2045;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;447,8503185;447,8503185
BGOR001;Radial;2050;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;597,133758;597,133758
BGOR001;Radial;2030;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
BGOR001;Radial;2035;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;149,2834395;149,2834395
BGOR001;Radial;2040;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;298,566879;298,566879
BGOR001;Radial;2045;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;447,8503185;447,8503185
BGOR001;Radial;2050;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;597,133758;597,133758
CYOR001;Radial;2030;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
CYOR001;Radial;2035;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
CYOR001;Radial;2040;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
CYOR001;Radial;2045;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
CYOR001;Radial;2050;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
CYOR001;Radial;2030;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
CYOR001;Radial;2035;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
CYOR001;Radial;2040;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
CYOR001;Radial;2045;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
CYOR001;Radial;2050;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
CYOR001;Radial;2030;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
CYOR001;Radial;2035;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
CYOR001;Radial;2040;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
CYOR001;Radial;2045;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
CYOR001;Radial;2050;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
DKEOR01;Radial;2030;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;2528,2;3093,187608;5621,387608
DKEOR01;Radial;2035;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;3528,2;2093,187608;5621,387608
DKEOR01;Radial;2040;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;3528,2;2093,187608;5621,387608
DKEOR01;Radial;2045;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;3528,2;2093,187608;5621,387608
DKEOR01;Radial;2050;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;3528,2;2093,187608;5621,387608
DKEOR01;Radial;2030;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;2528,2;3093,187608;5621,387608
DKEOR01;Radial;2035;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;3528,2;2093,187608;5621,387608
DKEOR01;Radial;2040;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;3528,2;2093,187608;5621,387608
DKEOR01;Radial;2045;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;3528,2;2093,187608;5621,387608
DKEOR01;Radial;2050;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;3528,2;2093,187608;5621,387608
DKEOR01;Radial;2030;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;2528,2;3093,187608;5621,387608
DKEOR01;Radial;2035;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;3528,2;2093,187608;5621,387608
DKEOR01;Radial;2040;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;3528,2;2093,187608;5621,387608
DKEOR01;Radial;2045;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;3528,2;2093,187608;5621,387608
DKEOR01;Radial;2050;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;3528,2;2093,187608;5621,387608
DKWOH01;FarShoreHub;2030;Distributed Energy;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;0;55905,30875;55905,30875
DKWOH01;FarShoreHub;2035;Distributed Energy;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;7000;50944,32619;57944,32619
DKWOH01;FarShoreHub;2040;Distributed Energy;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;14000;45983,34362;59983,34362
DKWOH01;FarShoreHub;2045;Distributed Energy;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;22000;37983,34362;59983,34362
DKWOH01;FarShoreHub;2050;Distributed Energy;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;30000;29983,34362;59983,34362
DKWOH01;FarShoreHub;2030;Global Ambition;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;0;55905,30875;55905,30875
DKWOH01;FarShoreHub;2035;Global Ambition;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;7000;50944,32619;57944,32619
DKWOH01;FarShoreHub;2040;Global Ambition;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;14000;45983,34362;59983,34362
DKWOH01;FarShoreHub;2045;Global Ambition;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;22000;37983,34362;59983,34362
DKWOH01;FarShoreHub;2050;Global Ambition;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;30000;29983,34362;59983,34362
DKWOH01;FarShoreHub;2030;National Trends;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;0;55905,30875;55905,30875
DKWOH01;FarShoreHub;2035;National Trends;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;7000;50944,32619;57944,32619
DKWOH01;FarShoreHub;2040;National Trends;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;14000;45983,34362;59983,34362
DKWOH01;FarShoreHub;2045;National Trends;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;22000;37983,34362;59983,34362
DKWOH01;FarShoreHub;2050;National Trends;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;;;30000;29983,34362;59983,34362
DKWOR01;Radial;2030;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;2722,4;41618,69125;44341,09125
DKWOR01;Radial;2035;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;6722,4;40579,67381;47302,07381
DKWOR01;Radial;2040;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;6722,4;43540,65638;50263,05638
DKWOR01;Radial;2045;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;6722,4;43540,65638;50263,05638
DKWOR01;Radial;2050;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;6722,4;43540,65638;50263,05638
DKWOR01;Radial;2030;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;2722,4;41618,69125;44341,09125
DKWOR01;Radial;2035;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;6722,4;40579,67381;47302,07381
DKWOR01;Radial;2040;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;6722,4;43540,65638;50263,05638
DKWOR01;Radial;2045;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;6722,4;43540,65638;50263,05638
DKWOR01;Radial;2050;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;6722,4;43540,65638;50263,05638
DKWOR01;Radial;2030;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;2722,4;41618,69125;44341,09125
DKWOR01;Radial;2035;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;6722,4;40579,67381;47302,07381
DKWOR01;Radial;2040;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;6722,4;43540,65638;50263,05638
DKWOR01;Radial;2045;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;6722,4;43540,65638;50263,05638
DKWOR01;Radial;2050;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;6722,4;43540,65638;50263,05638
EEOH001;Hub;2030;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;0;1000;1000
EEOH001;Hub;2035;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1000;3000;4000
EEOH001;Hub;2040;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3500;3500;7000
EEOH001;Hub;2045;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3500;5000;8500
EEOH001;Hub;2050;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;7000;3000;10000
EEOH001;Hub;2030;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;0;1000;1000
EEOH001;Hub;2035;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1000;3000;4000
EEOH001;Hub;2040;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3500;3500;7000
EEOH001;Hub;2045;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3500;5000;8500
EEOH001;Hub;2050;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;7000;3000;10000
EEOH001;Hub;2030;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;0;1000;1000
EEOH001;Hub;2035;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1000;3000;4000
EEOH001;Hub;2040;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3500;3500;7000
EEOH001;Hub;2045;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3500;5000;8500
EEOH001;Hub;2050;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;7000;3000;10000
ESOH001;Hub;2030;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;168,5870501;1568,58705
ESOH001;Hub;2035;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;1011,522301;2411,522301
ESOH001;Hub;2040;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;1854,457552;3254,457552
ESOH001;Hub;2045;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;2978,371219;4378,371219
ESOH001;Hub;2050;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;4102,284887;5502,284887
ESOH001;Hub;2030;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;168,5870501;1568,58705
ESOH001;Hub;2035;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;1011,522301;2411,522301
ESOH001;Hub;2040;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;1854,457552;3254,457552
ESOH001;Hub;2045;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;2978,371219;4378,371219
ESOH001;Hub;2050;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;4102,284887;5502,284887
ESOH001;Hub;2030;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;168,5870501;1568,58705
ESOH001;Hub;2035;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;1011,522301;2411,522301
ESOH001;Hub;2040;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;1854,457552;3254,457552
ESOH001;Hub;2045;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;2978,371219;4378,371219
ESOH001;Hub;2050;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;1400;4102,284887;5502,284887
ESOH002;Hub;2030;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;142,5112567;642,5112567
ESOH002;Hub;2035;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;855,0675404;1355,06754
ESOH002;Hub;2040;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;1567,623824;2067,623824
ESOH002;Hub;2045;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;2517,698869;3017,698869
ESOH002;Hub;2050;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;3467,773914;3967,773914
ESOH002;Hub;2030;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;142,5112567;642,5112567
ESOH002;Hub;2035;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;855,0675404;1355,06754
ESOH002;Hub;2040;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;1567,623824;2067,623824
ESOH002;Hub;2045;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;2517,698869;3017,698869
ESOH002;Hub;2050;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;3467,773914;3967,773914
ESOH002;Hub;2030;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;142,5112567;642,5112567
ESOH002;Hub;2035;National Trends;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;500;855,0675404;1355,06754
