link_id,bus0,bus1,voltage,p_nom,length,underground,under_construction,tags,geometry
ITCN-ITN1-DC,ITCN,ITN1,380,4500,255456.73484012095,t,f,ITCN -> ITN1,'LINESTRING (11.238605314099033 43.418038709137846, 9.703872107321653 45.440276039583814)'
ITCO-FR15-DC,ITCO,FR15,380,150,0.0,t,f,ITCO -> FR15,'LINESTRING (9.08481413412251 42.1620440291383, 9.08481413412251 42.1620440291383)'
ITCO-ITCN-DC,ITCO,ITCN,380,400,224925.07978034992,t,f,ITCO -> ITCN,'LINESTRING (9.08481413412251 42.1620440291383, 11.238605314099033 43.418038709137846)'
ITCO-ITSA-DC,ITCO,ITSA,380,420,231600.26489498036,t,f,ITCO -> ITSA,'LINESTRING (9.08481413412251 42.1620440291383, 9.097370828691671 40.06762550551241)'
ITCS-ITCN-DC,ITCS,ITCN,380,5350,234998.71027992322,t,f,ITCS -> ITCN,'LINESTRING (13.162117286238232 41.846461058064115, 11.238605314099033 43.418038709137846)'
ITCS-ITN1-DC,ITCS,ITN1,380,2000,486313.86889661377,t,f,ITCS -> ITN1,'LINESTRING (13.162117286238232 41.846461058064115, 9.703872107321653 45.440276039583814)'
ITCS-ITS1-DC,ITCS,ITS1,380,3100,297759.35844897426,t,f,ITCS -> ITS1,'LINESTRING (13.162117286238232 41.846461058064115, 16.501565091482913 40.92742166159263)'
ITCS-ITSA-DC,ITCS,ITSA,380,720,396123.35116281424,t,f,ITCS -> ITSA,'LINESTRING (13.162117286238232 41.846461058064115, 9.097370828691671 40.06762550551241)'
ITCS-ITVI-DC,ITCS,ITVI,380,1000,478381.12880968663,t,f,ITCS -> ITVI,'LINESTRING (13.162117286238232 41.846461058064115, 13.863833035110499 37.54681112728547)'
ITCS-ME00-DC,ITCS,ME00,380,600,498849.2164986131,t,f,ITCS -> ME00,'LINESTRING (13.162117286238232 41.846461058064115, 19.082581244926107 42.67587451024281)'
ITN1-AT00-DC,ITN1,AT00,380,695,464387.90328120446,t,f,ITN1 -> AT00,'LINESTRING (9.703872107321653 45.440276039583814, 14.822183225330722 47.66889815500067)'
ITN1-CH00-DC,ITN1,CH00,380,3110,180649.89397381846,t,f,ITN1 -> CH00,'LINESTRING (9.703872107321653 45.440276039583814, 8.416155547862315 46.797090406754855)'
ITN1-FR00-DC,ITN1,FR00,380,2160,570325.8189306703,t,f,ITN1 -> FR00,'LINESTRING (9.703872107321653 45.440276039583814, 2.5531561680612014 46.661234529363774)'
ITN1-ITCN-DC,ITN1,ITCN,380,5300,255456.73484012095,t,f,ITN1 -> ITCN,'LINESTRING (9.703872107321653 45.440276039583814, 11.238605314099033 43.418038709137846)'
ITN1-ITCS-DC,ITN1,ITCS,380,2000,486313.86889661377,t,f,ITN1 -> ITCS,'LINESTRING (9.703872107321653 45.440276039583814, 13.162117286238232 41.846461058064115)'
ITN1-SI00-DC,ITN1,SI00,380,1080,388977.8535172718,t,f,ITN1 -> SI00,'LINESTRING (9.703872107321653 45.440276039583814, 14.592048101522531 46.168654970248674)'
ITS1-GR00-DC,ITS1,GR00,380,500,456811.0210596293,t,f,ITS1 -> GR00,'LINESTRING (16.501565091482913 40.92742166159263, 21.529612363362705 39.48616951026592)'
ITS1-ITCA-DC,ITS1,ITCA,380,2000,214761.65778276962,t,f,ITS1 -> ITCA,'LINESTRING (16.501565091482913 40.92742166159263, 16.63489178531694 38.98588452308853)'
ITS1-ITCS-DC,ITS1,ITCS,380,5700,297759.35844897426,t,f,ITS1 -> ITCS,'LINESTRING (16.501565091482913 40.92742166159263, 13.162117286238232 41.846461058064115)'
ITSA-ITCO-DC,ITSA,ITCO,380,480,231600.26489498036,t,f,ITSA -> ITCO,'LINESTRING (9.097370828691671 40.06762550551241, 9.08481413412251 42.1620440291383)'
ITSA-ITCS-DC,ITSA,ITCS,380,900,396123.35116281424,t,f,ITSA -> ITCS,'LINESTRING (9.097370828691671 40.06762550551241, 13.162117286238232 41.846461058064115)'
ITSA-ITVI-DC,ITSA,ITVI,380,1000,500332.17695374537,t,f,ITSA -> ITVI,'LINESTRING (9.097370828691671 40.06762550551241, 13.863833035110499 37.54681112728547)'
ITSI-ITCA-DC,ITSI,ITCA,380,2000,292033.60693053505,t,f,ITSI -> ITCA,'LINESTRING (13.863833035110499 37.54681112728547, 16.63489178531694 38.98588452308853)'
ITSI-ITVI-DC,ITSI,ITVI,380,1500,0.0,t,f,ITSI -> ITVI,'LINESTRING (13.863833035110499 37.54681112728547, 13.863833035110499 37.54681112728547)'
ITSI-MT00-DC,ITSI,MT00,380,225,190941.93497167536,t,f,ITSI -> MT00,'LINESTRING (13.863833035110499 37.54681112728547, 14.449111076294427 35.876192914932375)'
ITVI-ITCS-DC,ITVI,ITCS,380,1000,478381.12880968663,t,f,ITVI -> ITCS,'LINESTRING (13.863833035110499 37.54681112728547, 13.162117286238232 41.846461058064115)'
ITVI-ITSA-DC,ITVI,ITSA,380,1000,500332.17695374537,t,f,ITVI -> ITSA,'LINESTRING (13.863833035110499 37.54681112728547, 9.097370828691671 40.06762550551241)'
ITVI-ITSI-DC,ITVI,ITSI,380,1500,0.0,t,f,ITVI -> ITSI,'LINESTRING (13.863833035110499 37.54681112728547, 13.863833035110499 37.54681112728547)'
LT00-LV00-DC,LT00,LV00,380,950,228437.39860140072,t,f,LT00 -> LV00,'LINESTRING (23.61258634167173 55.19969671519252, 26.022833314662595 56.748759855423025)'
LT00-PL00-DC,LT00,PL00,380,700,458345.2016137124,t,f,LT00 -> PL00,'LINESTRING (23.61258634167173 55.19969671519252, 19.12839483240633 52.055838748018296)'
LT00-SE04-DC,LT00,SE04,380,700,588193.0889328521,t,f,LT00 -> SE04,'LINESTRING (23.61258634167173 55.19969671519252, 14.486207331708309 56.447228329921465)'
LUB1-BE00-DC,LUB1,BE00,380,0,105631.51860863314,t,f,LUB1 -> BE00,'LINESTRING (6.060078314929736 49.831245410072725, 4.96793113501169 50.47063494467691)'
LUF1-FR00-DC,LUF1,FR00,380,0,437734.6706439678,t,f,LUF1 -> FR00,'LINESTRING (6.060078314929736 49.831245410072725, 2.5531561680612014 46.661234529363774)'
LUG1-BE00-DC,LUG1,BE00,380,180,105631.51860863314,t,f,LUG1 -> BE00,'LINESTRING (6.060078314929736 49.831245410072725, 4.96793113501169 50.47063494467691)'
LUG1-DE00-DC,LUG1,DE00,380,2400,320895.19070010784,t,f,LUG1 -> DE00,'LINESTRING (6.060078314929736 49.831245410072725, 10.11340015140031 51.10991486311772)'
LUV1-DE00-DC,LUV1,DE00,380,1300,320895.19070010784,t,f,LUV1 -> DE00,'LINESTRING (6.060078314929736 49.831245410072725, 10.11340015140031 51.10991486311772)'
LV00-EE00-DC,LV00,EE00,380,879,223577.80181842486,t,f,LV00 -> EE00,'LINESTRING (26.022833314662595 56.748759855423025, 25.482370888474648 58.72805946009988)'
LV00-LT00-DC,LV00,LT00,380,950,228437.39860140072,t,f,LV00 -> LT00,'LINESTRING (26.022833314662595 56.748759855423025, 23.61258634167173 55.19969671519252)'
ME00-AL00-DC,ME00,AL00,380,400,189342.8900817466,t,f,ME00 -> AL00,'LINESTRING (19.082581244926107 42.67587451024281, 20.036883988642362 41.117587702511265)'
ME00-BA00-DC,ME00,BA00,380,500,174703.76968735445,t,f,ME00 -> BA00,'LINESTRING (19.082581244926107 42.67587451024281, 17.867837381251395 43.98201574415204)'
ME00-ITCS-DC,ME00,ITCS,380,600,498849.2164986131,t,f,ME00 -> ITCS,'LINESTRING (19.082581244926107 42.67587451024281, 13.162117286238232 41.846461058064115)'
ME00-RS00-DC,ME00,RS00,380,540,224314.91122765827,t,f,ME00 -> RS00,'LINESTRING (19.082581244926107 42.67587451024281, 20.844931029154555 44.22438574020019)'
MK00-AL00-DC,MK00,AL00,380,500,153308.70660725507,t,f,MK00 -> AL00,'LINESTRING (21.73596299130559 41.612799248609235, 20.036883988642362 41.117587702511265)'
MK00-BG00-DC,MK00,BG00,380,400,320682.3359814209,t,f,MK00 -> BG00,'LINESTRING (21.73596299130559 41.612799248609235, 25.323948321769798 42.66875960983357)'
MK00-GR00-DC,MK00,GR00,380,850,236271.1633855353,t,f,MK00 -> GR00,'LINESTRING (21.73596299130559 41.612799248609235, 21.529612363362705 39.48616951026592)'
MK00-RS00-DC,MK00,RS00,380,460,298016.0116765786,t,f,MK00 -> RS00,'LINESTRING (21.73596299130559 41.612799248609235, 20.844931029154555 44.22438574020019)'
MT00-ITSI-DC,MT00,ITSI,380,225,190941.93497167536,t,f,MT00 -> ITSI,'LINESTRING (14.449111076294427 35.876192914932375, 13.863833035110499 37.54681112728547)'
NL00-BE00-DC,NL00,BE00,380,3400,183979.50362902408,t,f,NL00 -> BE00,'LINESTRING (5.506506419176196 52.08908232001923, 4.96793113501169 50.47063494467691)'
NL00-DE00-DC,NL00,DE00,380,5000,337189.82773703866,t,f,NL00 -> DE00,'LINESTRING (5.506506419176196 52.08908232001923, 10.11340015140031 51.10991486311772)'
NL00-DKW1-DC,NL00,DKW1,380,700,523613.97041724296,t,f,NL00 -> DKW1,'LINESTRING (5.506506419176196 52.08908232001923, 9.231846810338668 56.25589129896813)'
NL00-GB00-DC,NL00,GB00,380,1000,592663.9110469068,t,f,NL00 -> GB00,'LINESTRING (5.506506419176196 52.08908232001923, -2.37991519288217 54.57429734494409)'
NL00-NOS0-DC,NL00,NOS0,380,700,952722.0510035562,t,f,NL00 -> NOS0,'LINESTRING (5.506506419176196 52.08908232001923, 9.57699815953031 60.34827156120505)'
NOM1-NON1-DC,NOM1,NON1,380,350,600187.1363518676,t,f,NOM1 -> NON1,'LINESTRING (10.30408059155546 62.978763588455635, 15.915567665810894 67.86937126522933)'
NOM1-NOS0-DC,NOM1,NOS0,380,800,294585.002440757,t,f,NOM1 -> NOS0,'LINESTRING (10.30408059155546 62.978763588455635, 9.57699815953031 60.34827156120505)'
NOM1-SE02-DC,NOM1,SE02,380,600,282516.28784826817,t,f,NOM1 -> SE02,'LINESTRING (10.30408059155546 62.978763588455635, 15.764350524699514 63.554876748638755)'
NON1-FI00-DC,NON1,FI00,380,0,646346.1364686623,t,f,NON1 -> FI00,'LINESTRING (15.915567665810894 67.86937126522933, 27.765534085777407 64.65412490633571)'
NON1-NOM1-DC,NON1,NOM1,380,1300,600187.1363518676,t,f,NON1 -> NOM1,'LINESTRING (15.915567665810894 67.86937126522933, 10.30408059155546 62.978763588455635)'
NON1-SE01-DC,NON1,SE01,380,700,221671.9018858819,t,f,NON1 -> SE01,'LINESTRING (15.915567665810894 67.86937126522933, 19.80026614441185 66.59129777955059)'
NON1-SE02-DC,NON1,SE02,380,250,477812.13652984495,t,f,NON1 -> SE02,'LINESTRING (15.915567665810894 67.86937126522933, 15.764350524699514 63.554876748638755)'
NOS0-DE00-DC,NOS0,DE00,380,1400,1028207.8256905646,t,f,NOS0 -> DE00,'LINESTRING (9.57699815953031 60.34827156120505, 10.11340015140031 51.10991486311772)'
NOS0-DKW1-DC,NOS0,DKW1,380,1632,455512.35279679747,t,f,NOS0 -> DKW1,'LINESTRING (9.57699815953031 60.34827156120505, 9.231846810338668 56.25589129896813)'
NOS0-GB00-DC,NOS0,GB00,380,1400,962565.9115898216,t,f,NOS0 -> GB00,'LINESTRING (9.57699815953031 60.34827156120505, -2.37991519288217 54.57429734494409)'
NOS0-NL00-DC,NOS0,NL00,380,700,952722.0510035562,t,f,NOS0 -> NL00,'LINESTRING (9.57699815953031 60.34827156120505, 5.506506419176196 52.08908232001923)'
NOS0-NOM1-DC,NOS0,NOM1,380,600,294585.002440757,t,f,NOS0 -> NOM1,'LINESTRING (9.57699815953031 60.34827156120505, 10.30408059155546 62.978763588455635)'
NOS0-SE03-DC,NOS0,SE03,380,2145,315775.1198184473,t,f,NOS0 -> SE03,'LINESTRING (9.57699815953031 60.34827156120505, 15.019333893050288 59.60245880563486)'
PL00-CZ00-DC,PL00,CZ00,380,800,353672.0450037741,t,f,PL00 -> CZ00,'LINESTRING (19.12839483240633 52.055838748018296, 15.66368315845627 49.752662484669656)'
PL00-DE00-DC,PL00,DE00,380,3000,632999.4622361826,t,f,PL00 -> DE00,'LINESTRING (19.12839483240633 52.055838748018296, 10.11340015140031 51.10991486311772)'
PL00-DKE1-DC,PL00,DKE1,380,0,605672.5028376761,t,f,PL00 -> DKE1,'LINESTRING (19.12839483240633 52.055838748018296, 11.78540641787436 55.319110125986754)'
PL00-LT00-DC,PL00,LT00,380,700,458345.2016137124,t,f,PL00 -> LT00,'LINESTRING (19.12839483240633 52.055838748018296, 23.61258634167173 55.19969671519252)'
PL00-PL00-DC,PL00,PL00,380,6000,0.0,t,f,PL00 -> PL00,'LINESTRING (19.12839483240633 52.055838748018296, 19.12839483240633 52.055838748018296)'
PL00-SE04-DC,PL00,SE04,380,600,575049.0059797808,t,f,PL00 -> SE04,'LINESTRING (19.12839483240633 52.055838748018296, 14.486207331708309 56.447228329921465)'
PL00-SK00-DC,PL00,SK00,380,781,380625.23525825836,t,f,PL00 -> SK00,'LINESTRING (19.12839483240633 52.055838748018296, 18.778426368090923 48.64514405218487)'
PT00-ES00-DC,PT00,ES00,380,3500,469515.81705795013,t,f,PT00 -> ES00,'LINESTRING (-8.422153840455154 39.48279721857488, -3.069317498600462 40.48664108949666)'
RO00-BG00-DC,RO00,BG00,380,2190,382509.25646737905,t,f,RO00 -> BG00,'LINESTRING (24.750474823757145 46.08897119764826, 25.323948321769798 42.66875960983357)'
RO00-HU00-DC,RO00,HU00,380,1435,450663.5883823694,t,f,RO00 -> HU00,'LINESTRING (24.750474823757145 46.08897119764826, 19.07785532036663 47.21439242207342)'
RO00-RS00-DC,RO00,RS00,380,1984,371833.8288164457,t,f,RO00 -> RS00,'LINESTRING (24.750474823757145 46.08897119764826, 20.844931029154555 44.22438574020019)'
RS00-AL00-DC,RS00,AL00,380,250,351420.5353212442,t,f,RS00 -> AL00,'LINESTRING (20.844931029154555 44.22438574020019, 20.036883988642362 41.117587702511265)'
RS00-BA00-DC,RS00,BA00,380,1680,240326.21754623193,t,f,RS00 -> BA00,'LINESTRING (20.844931029154555 44.22438574020019, 17.867837381251395 43.98201574415204)'
RS00-BG00-DC,RS00,BG00,380,350,399980.1808745008,t,f,RS00 -> BG00,'LINESTRING (20.844931029154555 44.22438574020019, 25.323948321769798 42.66875960983357)'
RS00-HR00-DC,RS00,HR00,380,400,444257.33955391945,t,f,RS00 -> HR00,'LINESTRING (20.844931029154555 44.22438574020019, 15.328558588707311 44.87715536673345)'
RS00-HU00-DC,RS00,HU00,380,700,358842.9734769457,t,f,RS00 -> HU00,'LINESTRING (20.844931029154555 44.22438574020019, 19.07785532036663 47.21439242207342)'
RS00-ME00-DC,RS00,ME00,380,1140,224314.91122765827,t,f,RS00 -> ME00,'LINESTRING (20.844931029154555 44.22438574020019, 19.082581244926107 42.67587451024281)'
RS00-MK00-DC,RS00,MK00,380,480,298016.0116765786,t,f,RS00 -> MK00,'LINESTRING (20.844931029154555 44.22438574020019, 21.73596299130559 41.612799248609235)'
RS00-RO00-DC,RS00,RO00,380,1800,371833.8288164457,t,f,RS00 -> RO00,'LINESTRING (20.844931029154555 44.22438574020019, 24.750474823757145 46.08897119764826)'
SE01-FI00-DC,SE01,FI00,380,2000,429330.93362766504,t,f,SE01 -> FI00,'LINESTRING (19.80026614441185 66.59129777955059, 27.765534085777407 64.65412490633571)'
SE01-NON1-DC,SE01,NON1,380,600,221671.9018858819,t,f,SE01 -> NON1,'LINESTRING (19.80026614441185 66.59129777955059, 15.915567665810894 67.86937126522933)'
SE01-SE02-DC,SE01,SE02,380,3300,385251.8271983689,t,f,SE01 -> SE02,'LINESTRING (19.80026614441185 66.59129777955059, 15.764350524699514 63.554876748638755)'
SE02-FI00-DC,SE02,FI00,380,0,597004.7146889459,t,f,SE02 -> FI00,'LINESTRING (15.764350524699514 63.554876748638755, 27.765534085777407 64.65412490633571)'
SE02-NOM1-DC,SE02,NOM1,380,1000,282516.28784826817,t,f,SE02 -> NOM1,'LINESTRING (15.764350524699514 63.554876748638755, 10.30408059155546 62.978763588455635)'
SE02-NON1-DC,SE02,NON1,380,300,477812.13652984495,t,f,SE02 -> NON1,'LINESTRING (15.764350524699514 63.554876748638755, 15.915567665810894 67.86937126522933)'
SE02-SE01-DC,SE02,SE01,380,3300,385251.8271983689,t,f,SE02 -> SE01,'LINESTRING (15.764350524699514 63.554876748638755, 19.80026614441185 66.59129777955059)'
SE02-SE03-DC,SE02,SE03,380,7300,440631.89557078993,t,f,SE02 -> SE03,'LINESTRING (15.764350524699514 63.554876748638755, 15.019333893050288 59.60245880563486)'
SE03-DKW1-DC,SE03,DKW1,380,715,505724.953532446,t,f,SE03 -> DKW1,'LINESTRING (15.019333893050288 59.60245880563486, 9.231846810338668 56.25589129896813)'
SE03-FI00-DC,SE03,FI00,380,1200,864337.4688220774,t,f,SE03 -> FI00,'LINESTRING (15.019333893050288 59.60245880563486, 27.765534085777407 64.65412490633571)'
SE03-NOS0-DC,SE03,NOS0,380,2095,315775.1198184473,t,f,SE03 -> NOS0,'LINESTRING (15.019333893050288 59.60245880563486, 9.57699815953031 60.34827156120505)'
SE03-SE02-DC,SE03,SE02,380,7300,440631.89557078993,t,f,SE03 -> SE02,'LINESTRING (15.019333893050288 59.60245880563486, 15.764350524699514 63.554876748638755)'
SE03-SE04-DC,SE03,SE04,380,6200,352343.04073124274,t,f,SE03 -> SE04,'LINESTRING (15.019333893050288 59.60245880563486, 14.486207331708309 56.447228329921465)'
SE04-DE00-DC,SE04,DE00,380,1315,659759.7122553386,t,f,SE04 -> DE00,'LINESTRING (14.486207331708309 56.447228329921465, 10.11340015140031 51.10991486311772)'
SE04-DKE1-DC,SE04,DKE1,380,1300,210460.55528412573,t,f,SE04 -> DKE1,'LINESTRING (14.486207331708309 56.447228329921465, 11.78540641787436 55.319110125986754)'
SE04-LT00-DC,SE04,LT00,380,700,588193.0889328521,t,f,SE04 -> LT00,'LINESTRING (14.486207331708309 56.447228329921465, 23.61258634167173 55.19969671519252)'
SE04-PL00-DC,SE04,PL00,380,600,575049.0059797808,t,f,SE04 -> PL00,'LINESTRING (14.486207331708309 56.447228329921465, 19.12839483240633 52.055838748018296)'
SE04-SE03-DC,SE04,SE03,380,2800,352343.04073124274,t,f,SE04 -> SE03,'LINESTRING (14.486207331708309 56.447228329921465, 15.019333893050288 59.60245880563486)'
SI00-AT00-DC,SI00,AT00,380,950,167638.65037271174,t,f,SI00 -> AT00,'LINESTRING (14.592048101522531 46.168654970248674, 14.822183225330722 47.66889815500067)'
SI00-HR00-DC,SI00,HR00,380,1500,154352.6818824484,t,f,SI00 -> HR00,'LINESTRING (14.592048101522531 46.168654970248674, 15.328558588707311 44.87715536673345)'
SI00-HU00-DC,SI00,HU00,380,1200,362686.63566289656,t,f,SI00 -> HU00,'LINESTRING (14.592048101522531 46.168654970248674, 19.07785532036663 47.21439242207342)'
SI00-ITN1-DC,SI00,ITN1,380,1153,388977.8535172718,t,f,SI00 -> ITN1,'LINESTRING (14.592048101522531 46.168654970248674, 9.703872107321653 45.440276039583814)'
SK00-AT00-DC,SK00,AT00,380,0,313877.82868718565,t,f,SK00 -> AT00,'LINESTRING (18.778426368090923 48.64514405218487, 14.822183225330722 47.66889815500067)'
SK00-CZ00-DC,SK00,CZ00,380,1100,257961.1914103067,t,f,SK00 -> CZ00,'LINESTRING (18.778426368090923 48.64514405218487, 15.66368315845627 49.752662484669656)'
SK00-HU00-DC,SK00,HU00,380,2513,160649.81740722715,t,f,SK00 -> HU00,'LINESTRING (18.778426368090923 48.64514405218487, 19.07785532036663 47.21439242207342)'
SK00-PL00-DC,SK00,PL00,380,818,380625.23525825836,t,f,SK00 -> PL00,'LINESTRING (18.778426368090923 48.64514405218487, 19.12839483240633 52.055838748018296)'
