NODE;SCENARIO;TECHNOLOGY;YEAR;MIN CAPACITY [MW];MAX CAPACITY [MW]
AL00;Distributed Energy;Nuclear;2030;0;0
AL00;Distributed Energy;Nuclear;2035;0;0
AL00;Distributed Energy;Nuclear;2040;0;0
AL00;Distributed Energy;Nuclear;2045;0;0
AL00;Distributed Energy;Nuclear;2050;0;0
AT00;Distributed Energy;Nuclear;2030;0;0
AT00;Distributed Energy;Nuclear;2035;0;0
AT00;Distributed Energy;Nuclear;2040;0;0
AT00;Distributed Energy;Nuclear;2045;0;0
AT00;Distributed Energy;Nuclear;2050;0;0
BA00;Distributed Energy;Nuclear;2030;0;0
BA00;Distributed Energy;Nuclear;2035;0;0
BA00;Distributed Energy;Nuclear;2040;0;0
BA00;Distributed Energy;Nuclear;2045;0;0
BA00;Distributed Energy;Nuclear;2050;0;0
BE00;Distributed Energy;Nuclear;2030;2077;2077
BE00;Distributed Energy;Nuclear;2035;1039;1039
BE00;Distributed Energy;Nuclear;2040;0;0
BE00;Distributed Energy;Nuclear;2045;0;0
BE00;Distributed Energy;Nuclear;2050;0;0
BG00;Distributed Energy;Nuclear;2030;2000;2000
BG00;Distributed Energy;Nuclear;2035;2000;2000
BG00;Distributed Energy;Nuclear;2040;2000;2000
BG00;Distributed Energy;Nuclear;2045;1500;1500
BG00;Distributed Energy;Nuclear;2050;1000;1000
CH00;Distributed Energy;Nuclear;2030;1190;1190
CH00;Distributed Energy;Nuclear;2035;595;595
CH00;Distributed Energy;Nuclear;2040;0;0
CH00;Distributed Energy;Nuclear;2045;0;0
CH00;Distributed Energy;Nuclear;2050;0;0
CY00;Distributed Energy;Nuclear;2030;0;0
CY00;Distributed Energy;Nuclear;2035;0;0
CY00;Distributed Energy;Nuclear;2040;0;0
CY00;Distributed Energy;Nuclear;2045;0;0
CY00;Distributed Energy;Nuclear;2050;0;0
CZ00;Distributed Energy;Nuclear;2030;4047;4047
CZ00;Distributed Energy;Nuclear;2035;4617;4617
CZ00;Distributed Energy;Nuclear;2040;5187;5187
CZ00;Distributed Energy;Nuclear;2045;4232;4232
CZ00;Distributed Energy;Nuclear;2050;3278;3278
DE00;Distributed Energy;Nuclear;2030;0;0
DE00;Distributed Energy;Nuclear;2035;0;0
DE00;Distributed Energy;Nuclear;2040;0;0
DE00;Distributed Energy;Nuclear;2045;0;0
DE00;Distributed Energy;Nuclear;2050;0;0
DEKF;Distributed Energy;Nuclear;2030;0;0
DEKF;Distributed Energy;Nuclear;2035;0;0
DEKF;Distributed Energy;Nuclear;2040;0;0
DEKF;Distributed Energy;Nuclear;2045;0;0
DEKF;Distributed Energy;Nuclear;2050;0;0
DKE1;Distributed Energy;Nuclear;2030;0;0
DKE1;Distributed Energy;Nuclear;2035;0;0
DKE1;Distributed Energy;Nuclear;2040;0;0
DKE1;Distributed Energy;Nuclear;2045;0;0
DKE1;Distributed Energy;Nuclear;2050;0;0
DKKF;Distributed Energy;Nuclear;2030;0;0
DKKF;Distributed Energy;Nuclear;2035;0;0
DKKF;Distributed Energy;Nuclear;2040;0;0
DKKF;Distributed Energy;Nuclear;2045;0;0
DKKF;Distributed Energy;Nuclear;2050;0;0
DKW1;Distributed Energy;Nuclear;2030;0;0
DKW1;Distributed Energy;Nuclear;2035;0;0
DKW1;Distributed Energy;Nuclear;2040;0;0
DKW1;Distributed Energy;Nuclear;2045;0;0
DKW1;Distributed Energy;Nuclear;2050;0;0
EE00;Distributed Energy;Nuclear;2030;0;0
EE00;Distributed Energy;Nuclear;2035;0;0
EE00;Distributed Energy;Nuclear;2040;0;0
EE00;Distributed Energy;Nuclear;2045;0;0
EE00;Distributed Energy;Nuclear;2050;0;0
ES00;Distributed Energy;Nuclear;2030;5100;5100
ES00;Distributed Energy;Nuclear;2035;2550;2550
ES00;Distributed Energy;Nuclear;2040;0;0
ES00;Distributed Energy;Nuclear;2045;0;0
ES00;Distributed Energy;Nuclear;2050;0;0
FI00;Distributed Energy;Nuclear;2030;3887;3887
FI00;Distributed Energy;Nuclear;2035;3251;3251
FI00;Distributed Energy;Nuclear;2040;2614;2614
FI00;Distributed Energy;Nuclear;2045;2107;2107
FI00;Distributed Energy;Nuclear;2050;1600;1600
FR00;Distributed Energy;Nuclear;2030;59400;59400
FR00;Distributed Energy;Nuclear;2035;54700;54700
FR00;Distributed Energy;Nuclear;2040;50000;50000
FR00;Distributed Energy;Nuclear;2045;39073;39073
FR00;Distributed Energy;Nuclear;2050;28145;28145
GR00;Distributed Energy;Nuclear;2030;0;0
GR00;Distributed Energy;Nuclear;2035;0;0
GR00;Distributed Energy;Nuclear;2040;0;0
GR00;Distributed Energy;Nuclear;2045;0;0
GR00;Distributed Energy;Nuclear;2050;0;0
GR03;Distributed Energy;Nuclear;2030;0;0
GR03;Distributed Energy;Nuclear;2035;0;0
GR03;Distributed Energy;Nuclear;2040;0;0
GR03;Distributed Energy;Nuclear;2045;0;0
GR03;Distributed Energy;Nuclear;2050;0;0
HR00;Distributed Energy;Nuclear;2030;0;0
HR00;Distributed Energy;Nuclear;2035;0;0
HR00;Distributed Energy;Nuclear;2040;0;0
HR00;Distributed Energy;Nuclear;2045;0;0
HR00;Distributed Energy;Nuclear;2050;0;0
HU00;Distributed Energy;Nuclear;2030;1917;1917
HU00;Distributed Energy;Nuclear;2035;2139;2139
HU00;Distributed Energy;Nuclear;2040;2360;2360
HU00;Distributed Energy;Nuclear;2045;2360;2360
HU00;Distributed Energy;Nuclear;2050;2360;2360
IE00;Distributed Energy;Nuclear;2030;0;0
IE00;Distributed Energy;Nuclear;2035;0;0
IE00;Distributed Energy;Nuclear;2040;0;0
IE00;Distributed Energy;Nuclear;2045;0;0
IE00;Distributed Energy;Nuclear;2050;0;0
ITCA;Distributed Energy;Nuclear;2030;0;0
ITCA;Distributed Energy;Nuclear;2035;0;0
ITCA;Distributed Energy;Nuclear;2040;0;0
ITCA;Distributed Energy;Nuclear;2045;0;0
ITCA;Distributed Energy;Nuclear;2050;0;0
ITCN;Distributed Energy;Nuclear;2030;0;0
ITCN;Distributed Energy;Nuclear;2035;0;0
ITCN;Distributed Energy;Nuclear;2040;0;0
ITCN;Distributed Energy;Nuclear;2045;0;0
ITCN;Distributed Energy;Nuclear;2050;0;0
ITCS;Distributed Energy;Nuclear;2030;0;0
ITCS;Distributed Energy;Nuclear;2035;0;0
ITCS;Distributed Energy;Nuclear;2040;0;0
ITCS;Distributed Energy;Nuclear;2045;0;0
ITCS;Distributed Energy;Nuclear;2050;0;0
ITN1;Distributed Energy;Nuclear;2030;0;0
ITN1;Distributed Energy;Nuclear;2035;0;0
ITN1;Distributed Energy;Nuclear;2040;0;0
ITN1;Distributed Energy;Nuclear;2045;0;0
ITN1;Distributed Energy;Nuclear;2050;0;0
ITS1;Distributed Energy;Nuclear;2030;0;0
ITS1;Distributed Energy;Nuclear;2035;0;0
ITS1;Distributed Energy;Nuclear;2040;0;0
ITS1;Distributed Energy;Nuclear;2045;0;0
ITS1;Distributed Energy;Nuclear;2050;0;0
ITSA;Distributed Energy;Nuclear;2030;0;0
ITSA;Distributed Energy;Nuclear;2035;0;0
ITSA;Distributed Energy;Nuclear;2040;0;0
ITSA;Distributed Energy;Nuclear;2045;0;0
ITSA;Distributed Energy;Nuclear;2050;0;0
ITSI;Distributed Energy;Nuclear;2030;0;0
ITSI;Distributed Energy;Nuclear;2035;0;0
ITSI;Distributed Energy;Nuclear;2040;0;0
ITSI;Distributed Energy;Nuclear;2045;0;0
ITSI;Distributed Energy;Nuclear;2050;0;0
LT00;Distributed Energy;Nuclear;2030;0;0
LT00;Distributed Energy;Nuclear;2035;0;0
LT00;Distributed Energy;Nuclear;2040;0;0
LT00;Distributed Energy;Nuclear;2045;0;0
LT00;Distributed Energy;Nuclear;2050;0;0
LUB1;Distributed Energy;Nuclear;2030;0;0
LUB1;Distributed Energy;Nuclear;2035;0;0
LUB1;Distributed Energy;Nuclear;2040;0;0
LUB1;Distributed Energy;Nuclear;2045;0;0
LUB1;Distributed Energy;Nuclear;2050;0;0
LUF1;Distributed Energy;Nuclear;2030;0;0
LUF1;Distributed Energy;Nuclear;2035;0;0
LUF1;Distributed Energy;Nuclear;2040;0;0
LUF1;Distributed Energy;Nuclear;2045;0;0
LUF1;Distributed Energy;Nuclear;2050;0;0
LUG1;Distributed Energy;Nuclear;2030;0;0
LUG1;Distributed Energy;Nuclear;2035;0;0
LUG1;Distributed Energy;Nuclear;2040;0;0
LUG1;Distributed Energy;Nuclear;2045;0;0
LUG1;Distributed Energy;Nuclear;2050;0;0
LUV1;Distributed Energy;Nuclear;2030;0;0
LUV1;Distributed Energy;Nuclear;2035;0;0
LUV1;Distributed Energy;Nuclear;2040;0;0
LUV1;Distributed Energy;Nuclear;2045;0;0
LUV1;Distributed Energy;Nuclear;2050;0;0
LV00;Distributed Energy;Nuclear;2030;0;0
LV00;Distributed Energy;Nuclear;2035;0;0
LV00;Distributed Energy;Nuclear;2040;0;0
LV00;Distributed Energy;Nuclear;2045;0;0
LV00;Distributed Energy;Nuclear;2050;0;0
ME00;Distributed Energy;Nuclear;2030;0;0
ME00;Distributed Energy;Nuclear;2035;0;0
ME00;Distributed Energy;Nuclear;2040;0;0
ME00;Distributed Energy;Nuclear;2045;0;0
ME00;Distributed Energy;Nuclear;2050;0;0
MK00;Distributed Energy;Nuclear;2030;0;0
MK00;Distributed Energy;Nuclear;2035;0;0
MK00;Distributed Energy;Nuclear;2040;0;0
MK00;Distributed Energy;Nuclear;2045;0;0
MK00;Distributed Energy;Nuclear;2050;0;0
MT00;Distributed Energy;Nuclear;2030;0;0
MT00;Distributed Energy;Nuclear;2035;0;0
MT00;Distributed Energy;Nuclear;2040;0;0
MT00;Distributed Energy;Nuclear;2045;0;0
MT00;Distributed Energy;Nuclear;2050;0;0
NL00;Distributed Energy;Nuclear;2030;486;486
NL00;Distributed Energy;Nuclear;2035;243;243
NL00;Distributed Energy;Nuclear;2040;0;0
NL00;Distributed Energy;Nuclear;2045;0;0
NL00;Distributed Energy;Nuclear;2050;0;0
NOM1;Distributed Energy;Nuclear;2030;0;0
NOM1;Distributed Energy;Nuclear;2035;0;0
NOM1;Distributed Energy;Nuclear;2040;0;0
NOM1;Distributed Energy;Nuclear;2045;0;0
NOM1;Distributed Energy;Nuclear;2050;0;0
NON1;Distributed Energy;Nuclear;2030;0;0
NON1;Distributed Energy;Nuclear;2035;0;0
NON1;Distributed Energy;Nuclear;2040;0;0
NON1;Distributed Energy;Nuclear;2045;0;0
NON1;Distributed Energy;Nuclear;2050;0;0
NOS0;Distributed Energy;Nuclear;2030;0;0
NOS0;Distributed Energy;Nuclear;2035;0;0
NOS0;Distributed Energy;Nuclear;2040;0;0
NOS0;Distributed Energy;Nuclear;2045;0;0
NOS0;Distributed Energy;Nuclear;2050;0;0
PL00;Distributed Energy;Nuclear;2030;0;0
PL00;Distributed Energy;Nuclear;2035;2220;2220
PL00;Distributed Energy;Nuclear;2040;4440;4440
PL00;Distributed Energy;Nuclear;2045;5550;5550
PL00;Distributed Energy;Nuclear;2050;6660;6660
PT00;Distributed Energy;Nuclear;2030;0;0
PT00;Distributed Energy;Nuclear;2035;0;0
PT00;Distributed Energy;Nuclear;2040;0;0
PT00;Distributed Energy;Nuclear;2045;0;0
PT00;Distributed Energy;Nuclear;2050;0;0
RO00;Distributed Energy;Nuclear;2030;1300;1300
RO00;Distributed Energy;Nuclear;2035;1300;1300
RO00;Distributed Energy;Nuclear;2040;1300;1300
RO00;Distributed Energy;Nuclear;2045;1300;1300
RO00;Distributed Energy;Nuclear;2050;1300;1300
RS00;Distributed Energy;Nuclear;2030;0;0
RS00;Distributed Energy;Nuclear;2035;0;0
RS00;Distributed Energy;Nuclear;2040;0;0
RS00;Distributed Energy;Nuclear;2045;0;0
RS00;Distributed Energy;Nuclear;2050;0;0
SE01;Distributed Energy;Nuclear;2030;0;0
SE01;Distributed Energy;Nuclear;2035;0;0
SE01;Distributed Energy;Nuclear;2040;0;0
SE01;Distributed Energy;Nuclear;2045;0;0
SE01;Distributed Energy;Nuclear;2050;0;0
SE02;Distributed Energy;Nuclear;2030;0;0
SE02;Distributed Energy;Nuclear;2035;0;0
SE02;Distributed Energy;Nuclear;2040;0;0
SE02;Distributed Energy;Nuclear;2045;0;0
SE02;Distributed Energy;Nuclear;2050;0;0
SE03;Distributed Energy;Nuclear;2030;5900;5900
SE03;Distributed Energy;Nuclear;2035;4800;4800
SE03;Distributed Energy;Nuclear;2040;3700;3700
SE03;Distributed Energy;Nuclear;2045;1850;1850
SE03;Distributed Energy;Nuclear;2050;0;0
SE04;Distributed Energy;Nuclear;2030;0;0
SE04;Distributed Energy;Nuclear;2035;0;0
SE04;Distributed Energy;Nuclear;2040;0;0
SE04;Distributed Energy;Nuclear;2045;0;0
SE04;Distributed Energy;Nuclear;2050;0;0
SI00;Distributed Energy;Nuclear;2030;696;696
SI00;Distributed Energy;Nuclear;2035;348;348
SI00;Distributed Energy;Nuclear;2040;0;0
SI00;Distributed Energy;Nuclear;2045;0;0
SI00;Distributed Energy;Nuclear;2050;0;0
SK00;Distributed Energy;Nuclear;2030;2815;2815
SK00;Distributed Energy;Nuclear;2035;2822;2822
SK00;Distributed Energy;Nuclear;2040;2830;2830
SK00;Distributed Energy;Nuclear;2045;2830;2830
SK00;Distributed Energy;Nuclear;2050;2830;2830
UK00;Distributed Energy;Nuclear;2030;4500;4500
UK00;Distributed Energy;Nuclear;2035;4500;4500
UK00;Distributed Energy;Nuclear;2040;4500;4500
UK00;Distributed Energy;Nuclear;2045;5000;5000
UK00;Distributed Energy;Nuclear;2050;5500;5500
UKNI;Distributed Energy;Nuclear;2030;0;0
UKNI;Distributed Energy;Nuclear;2035;0;0
UKNI;Distributed Energy;Nuclear;2040;0;0
UKNI;Distributed Energy;Nuclear;2045;0;0
UKNI;Distributed Energy;Nuclear;2050;0;0
AL00;National Trends;Nuclear;2030;0;0
AL00;National Trends;Nuclear;2035;0;0
AL00;National Trends;Nuclear;2040;0;0
AL00;National Trends;Nuclear;2045;0;0
AL00;National Trends;Nuclear;2050;0;0
AT00;National Trends;Nuclear;2030;0;0
AT00;National Trends;Nuclear;2035;0;0
AT00;National Trends;Nuclear;2040;0;0
AT00;National Trends;Nuclear;2045;0;0
AT00;National Trends;Nuclear;2050;0;0
BA00;National Trends;Nuclear;2030;0;0
BA00;National Trends;Nuclear;2035;0;0
BA00;National Trends;Nuclear;2040;0;0
BA00;National Trends;Nuclear;2045;0;0
BA00;National Trends;Nuclear;2050;0;0
BE00;National Trends;Nuclear;2030;2077;2077
BE00;National Trends;Nuclear;2035;1039;1039
BE00;National Trends;Nuclear;2040;0;0
BE00;National Trends;Nuclear;2045;0;0
BE00;National Trends;Nuclear;2050;0;0
BG00;National Trends;Nuclear;2030;2000;2000
BG00;National Trends;Nuclear;2035;3000;3000
BG00;National Trends;Nuclear;2040;4000;4000
BG00;National Trends;Nuclear;2045;4000;4000
BG00;National Trends;Nuclear;2050;4000;4000
CH00;National Trends;Nuclear;2030;1190;1190
CH00;National Trends;Nuclear;2035;595;595
CH00;National Trends;Nuclear;2040;0;0
CH00;National Trends;Nuclear;2045;0;0
CH00;National Trends;Nuclear;2050;0;0
CY00;National Trends;Nuclear;2030;0;0
CY00;National Trends;Nuclear;2035;0;0
CY00;National Trends;Nuclear;2040;0;0
CY00;National Trends;Nuclear;2045;0;0
CY00;National Trends;Nuclear;2050;0;0
CZ00;National Trends;Nuclear;2030;4047;4047
CZ00;National Trends;Nuclear;2035;4617;4617
CZ00;National Trends;Nuclear;2040;5187;5187
CZ00;National Trends;Nuclear;2045;5187;5187
CZ00;National Trends;Nuclear;2050;5187;5187
DE00;National Trends;Nuclear;2030;0;0
DE00;National Trends;Nuclear;2035;0;0
DE00;National Trends;Nuclear;2040;0;0
DE00;National Trends;Nuclear;2045;0;0
DE00;National Trends;Nuclear;2050;0;0
DEKF;National Trends;Nuclear;2030;0;0
DEKF;National Trends;Nuclear;2035;0;0
DEKF;National Trends;Nuclear;2040;0;0
DEKF;National Trends;Nuclear;2045;0;0
DEKF;National Trends;Nuclear;2050;0;0
DKE1;National Trends;Nuclear;2030;0;0
DKE1;National Trends;Nuclear;2035;0;0
DKE1;National Trends;Nuclear;2040;0;0
DKE1;National Trends;Nuclear;2045;0;0
DKE1;National Trends;Nuclear;2050;0;0
DKKF;National Trends;Nuclear;2030;0;0
DKKF;National Trends;Nuclear;2035;0;0
DKKF;National Trends;Nuclear;2040;0;0
DKKF;National Trends;Nuclear;2045;0;0
DKKF;National Trends;Nuclear;2050;0;0
DKW1;National Trends;Nuclear;2030;0;0
DKW1;National Trends;Nuclear;2035;0;0
DKW1;National Trends;Nuclear;2040;0;0
DKW1;National Trends;Nuclear;2045;0;0
DKW1;National Trends;Nuclear;2050;0;0
EE00;National Trends;Nuclear;2030;0;0
EE00;National Trends;Nuclear;2035;0;0
EE00;National Trends;Nuclear;2040;0;0
EE00;National Trends;Nuclear;2045;0;0
EE00;National Trends;Nuclear;2050;0;0
ES00;National Trends;Nuclear;2030;5100;5100
ES00;National Trends;Nuclear;2035;2550;2550
ES00;National Trends;Nuclear;2040;0;0
ES00;National Trends;Nuclear;2045;0;0
ES00;National Trends;Nuclear;2050;0;0
FI00;National Trends;Nuclear;2030;4394;4394
FI00;National Trends;Nuclear;2035;4394;4394
FI00;National Trends;Nuclear;2040;4394;4394
FI00;National Trends;Nuclear;2045;4394;4394
FI00;National Trends;Nuclear;2050;4394;4394
FR00;National Trends;Nuclear;2030;61761;61761
FR00;National Trends;Nuclear;2035;62334;62334
FR00;National Trends;Nuclear;2040;62907;62907
FR00;National Trends;Nuclear;2045;62907;62907
FR00;National Trends;Nuclear;2050;62907;62907
GR00;National Trends;Nuclear;2030;0;0
GR00;National Trends;Nuclear;2035;0;0
GR00;National Trends;Nuclear;2040;0;0
GR00;National Trends;Nuclear;2045;0;0
GR00;National Trends;Nuclear;2050;0;0
GR03;National Trends;Nuclear;2030;0;0
GR03;National Trends;Nuclear;2035;0;0
GR03;National Trends;Nuclear;2040;0;0
GR03;National Trends;Nuclear;2045;0;0
GR03;National Trends;Nuclear;2050;0;0
HR00;National Trends;Nuclear;2030;0;0
HR00;National Trends;Nuclear;2035;0;0
HR00;National Trends;Nuclear;2040;0;0
HR00;National Trends;Nuclear;2045;0;0
HR00;National Trends;Nuclear;2050;0;0
HU00;National Trends;Nuclear;2030;3097;3097
HU00;National Trends;Nuclear;2035;3687;3687
HU00;National Trends;Nuclear;2040;4277;4277
HU00;National Trends;Nuclear;2045;4277;4277
HU00;National Trends;Nuclear;2050;4277;4277
IE00;National Trends;Nuclear;2030;0;0
IE00;National Trends;Nuclear;2035;0;0
IE00;National Trends;Nuclear;2040;0;0
IE00;National Trends;Nuclear;2045;0;0
IE00;National Trends;Nuclear;2050;0;0
ITCA;National Trends;Nuclear;2030;0;0
ITCA;National Trends;Nuclear;2035;0;0
ITCA;National Trends;Nuclear;2040;0;0
ITCA;National Trends;Nuclear;2045;0;0
ITCA;National Trends;Nuclear;2050;0;0
ITCN;National Trends;Nuclear;2030;0;0
ITCN;National Trends;Nuclear;2035;0;0
ITCN;National Trends;Nuclear;2040;0;0
ITCN;National Trends;Nuclear;2045;0;0
ITCN;National Trends;Nuclear;2050;0;0
ITCS;National Trends;Nuclear;2030;0;0
ITCS;National Trends;Nuclear;2035;0;0
ITCS;National Trends;Nuclear;2040;0;0
ITCS;National Trends;Nuclear;2045;0;0
ITCS;National Trends;Nuclear;2050;0;0
ITN1;National Trends;Nuclear;2030;0;0
ITN1;National Trends;Nuclear;2035;0;0
ITN1;National Trends;Nuclear;2040;0;0
ITN1;National Trends;Nuclear;2045;0;0
ITN1;National Trends;Nuclear;2050;0;0
ITS1;National Trends;Nuclear;2030;0;0
ITS1;National Trends;Nuclear;2035;0;0
ITS1;National Trends;Nuclear;2040;0;0
ITS1;National Trends;Nuclear;2045;0;0
ITS1;National Trends;Nuclear;2050;0;0
ITSA;National Trends;Nuclear;2030;0;0
ITSA;National Trends;Nuclear;2035;0;0
ITSA;National Trends;Nuclear;2040;0;0
ITSA;National Trends;Nuclear;2045;0;0
ITSA;National Trends;Nuclear;2050;0;0
ITSI;National Trends;Nuclear;2030;0;0
ITSI;National Trends;Nuclear;2035;0;0
ITSI;National Trends;Nuclear;2040;0;0
ITSI;National Trends;Nuclear;2045;0;0
ITSI;National Trends;Nuclear;2050;0;0
LT00;National Trends;Nuclear;2030;0;0
LT00;National Trends;Nuclear;2035;0;0
LT00;National Trends;Nuclear;2040;0;0
LT00;National Trends;Nuclear;2045;0;0
LT00;National Trends;Nuclear;2050;0;0
LUB1;National Trends;Nuclear;2030;0;0
LUB1;National Trends;Nuclear;2035;0;0
LUB1;National Trends;Nuclear;2040;0;0
LUB1;National Trends;Nuclear;2045;0;0
LUB1;National Trends;Nuclear;2050;0;0
LUF1;National Trends;Nuclear;2030;0;0
LUF1;National Trends;Nuclear;2035;0;0
LUF1;National Trends;Nuclear;2040;0;0
LUF1;National Trends;Nuclear;2045;0;0
LUF1;National Trends;Nuclear;2050;0;0
LUG1;National Trends;Nuclear;2030;0;0
LUG1;National Trends;Nuclear;2035;0;0
LUG1;National Trends;Nuclear;2040;0;0
LUG1;National Trends;Nuclear;2045;0;0
LUG1;National Trends;Nuclear;2050;0;0
LUV1;National Trends;Nuclear;2030;0;0
LUV1;National Trends;Nuclear;2035;0;0
LUV1;National Trends;Nuclear;2040;0;0
LUV1;National Trends;Nuclear;2045;0;0
LUV1;National Trends;Nuclear;2050;0;0
LV00;National Trends;Nuclear;2030;0;0
LV00;National Trends;Nuclear;2035;0;0
LV00;National Trends;Nuclear;2040;0;0
LV00;National Trends;Nuclear;2045;0;0
LV00;National Trends;Nuclear;2050;0;0
ME00;National Trends;Nuclear;2030;0;0
ME00;National Trends;Nuclear;2035;0;0
ME00;National Trends;Nuclear;2040;0;0
ME00;National Trends;Nuclear;2045;0;0
ME00;National Trends;Nuclear;2050;0;0
MK00;National Trends;Nuclear;2030;0;0
MK00;National Trends;Nuclear;2035;0;0
MK00;National Trends;Nuclear;2040;0;0
MK00;National Trends;Nuclear;2045;0;0
MK00;National Trends;Nuclear;2050;0;0
MT00;National Trends;Nuclear;2030;0;0
MT00;National Trends;Nuclear;2035;0;0
MT00;National Trends;Nuclear;2040;0;0
MT00;National Trends;Nuclear;2045;0;0
MT00;National Trends;Nuclear;2050;0;0
NL00;National Trends;Nuclear;2030;486;486
NL00;National Trends;Nuclear;2035;243;243
NL00;National Trends;Nuclear;2040;0;0
NL00;National Trends;Nuclear;2045;0;0
NL00;National Trends;Nuclear;2050;0;0
NOM1;National Trends;Nuclear;2030;0;0
NOM1;National Trends;Nuclear;2035;0;0
